"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFM",10.1368612294869,5.90280329484711e-07,0.00144269509655134,3.89122297451287e-24,9.26203716100123e-22
"GOT1L1",9.81002507029971,5.16656335822024e-07,0.00144269505891753,3.86040879463759e-24,9.26203716100123e-22
"OR4A15",74.480101431925,4.7074089391332e-07,0.00144269507596624,8.66041402486326e-24,2.03713315309548e-21
"SSMEM1",15.135925563199,5.5004819596343e-07,0.00144269508924197,1.41431695595884e-23,3.28812246714432e-21
"GOLGA7B",3230.28238905571,2.5961201637591,0.268667556723742,2.04706662267119e-23,4.65102841519178e-21
"CDRT1",2741.47520683713,2.45678275827045,0.253737840851299,2.0405157623522e-23,4.65102841519178e-21
"OR5I1",23.1822970856465,5.66033840601284e-07,0.001442695092556,2.18738205091061e-23,4.91399064336032e-21
"OR10H2",81.6091265315161,4.60919061031111e-07,0.00144269507439879,2.68091561519814e-23,5.95580297891907e-21
"MRPS17",20513.5532513407,1.41812048891597,0.146398335038923,3.07224019789042e-23,6.75015060622209e-21
"OR10G7",38.8513949524933,4.89512243794658e-07,0.00144269507894929,3.16075898904623e-23,6.79529195989143e-21
"OC90",1571.85212727869,2.77959577659856,0.288569677395062,3.15770524577054e-23,6.79529195989143e-21
"FAM26D",46.0244568772301,4.88281848528647e-07,0.00144269507878601,3.24568979814701e-23,6.83098124464751e-21
"KRTAP13-4",43.1060430141998,4.99842429943986e-07,0.00144269508074862,3.22844610669416e-23,6.83098124464751e-21
"MAGEB16",14.2201715891745,5.4267380961736e-07,0.00144269508781447,3.89853964076892e-23,8.11952099765977e-21
"OR8K1",23.1075519312921,5.14473592611435e-07,0.00144269508305843,4.08255112229458e-23,8.41510589063484e-21
"IQCF5",40.9650326905419,4.47850725438598e-07,0.00144269506059744,4.45789543387074e-23,9.09501645967466e-21
"SLITRK3",45.2021309108578,7.92852766176086,0.858547311275964,5.12933671150799e-23,1.03591876979688e-20
"OR10J3",22.0840575575298,5.06126360749452e-07,0.00144269508157222,8.82653175795304e-23,1.76477675968513e-20
"FAM47E-STBD1",3235.36320584979,2.19584900462603,0.231270437872896,1.16754013470827e-22,2.31126707458981e-20
"OR8J1",21.2377305117497,5.16553779717654e-07,0.00144269508339956,1.49719023942023e-22,2.93478643597726e-20
"OR5L2",20.8566246220201,5.0388471000646e-07,0.00144269508115845,1.85565952056532e-22,3.60214140331875e-20
"ANKRD18A",7859.17737240567,1.91110525993791,0.202377132635282,1.94820506000863e-22,3.74542422786659e-20
"HIST2H3C",2304.20192871912,-3.12596595243802,0.331887805526674,2.06744174295901e-22,3.89567211875806e-20
"HIST2H3A",2304.20192871912,-3.12596595243802,0.331887805526674,2.06744174295901e-22,3.89567211875806e-20
"RP11-67H2.1",12.7524441641065,5.31599273869007e-07,0.00144269508568839,2.08481002654353e-22,3.89567211875806e-20
"OR7G2",20.3974231284283,5.07876466603064e-07,0.00144269508218471,2.58507627666647e-22,4.78574213663606e-20
"PASD1",20.2515215752247,4.83099973131095e-07,0.0014426950776027,2.73333239904461e-22,5.01378421894477e-20
"ABCA10",622.452706131772,2.27273954938552,0.242047986399734,2.98308146382161e-22,5.42215734433176e-20
"E2F1",520.029845935895,-2.45629284690732,0.262668818375695,3.9883332527071e-22,7.18403018510141e-20
"OR4K17",43.0349435137268,4.48797591677658e-07,0.00144269507236894,4.53698376582825e-22,8.0993261976759e-20
"AKAP12",632.051905848088,3.34977979561104,0.262798160722008,5.5498940379494e-22,9.8198744597133e-20
"OR8H1",54.7670993178045,7.02069961442932e-07,0.00144269512308737,7.269130649627e-22,1.27064401742931e-19
"GK2",12.4025525903107,5.21814527404674e-07,0.00144269508434674,7.30839561890418e-22,1.27064401742931e-19
"OR52A1",18.8015013837196,4.72816589093367e-07,0.00144269507588057,9.91456776693956e-22,1.70889541320853e-19
"CYLC1",18.1358951937446,4.79547070070218e-07,0.0014426950769698,1.34980687563246e-21,2.30666997191414e-19
"ABCA8",1188.09052825347,2.28263018574517,0.247344106507852,1.372038555758e-21,2.32147917852916e-19
"OR6Y1",18.5155267597637,4.75625364687204e-07,0.001442695076337,1.38169461961073e-21,2.32147917852916e-19
"IFNA16",10.8571052676582,5.17913714772882e-07,0.00144269508308692,1.48919317184821e-21,2.48124402316109e-19
"CXorf66",18.2883139598018,4.77177411512255e-07,0.0014426950765872,1.58731724228924e-21,2.62287776382901e-19
"DEFB125",24.5601279944976,5.09693791936637e-07,0.00144269508223176,1.97002755163685e-21,3.2285844973301e-19
"MYBL2",745.544973959383,-3.10615599589103,0.338619709761141,2.03273072997301e-21,3.30426164350248e-19
"C10orf120",18.1752448887776,4.94030355338281e-07,0.00144269507941455,2.09724182515682e-21,3.38163331066012e-19
"DAOA",17.9004293991054,4.68829234343364e-07,0.00144269507521309,2.18464061329797e-21,3.49437635378237e-19
"ABCA9",598.823889612675,1.8254161100729,0.198920654183641,2.3054972846243e-21,3.65842164355383e-19
"OR5T3",17.659092114688,4.90188347139386e-07,0.00144269507918576,2.44814351982096e-21,3.85418752246459e-19
"MASP1",333.554793885931,3.19961046644456,0.349622545250899,2.6699010849254e-21,4.17046892906237e-19
"GSTM2",3413.67405597505,1.75810212134648,0.191479259085436,2.69738355483396e-21,4.18073541049227e-19
"DEFB130",802.708524964348,4.63032191391861,0.507146644073584,3.22470308330982e-21,4.9595933421305e-19
"TOPAZ1",10.6323241491339,5.09758919470542e-07,0.00144269508164688,3.51660738517914e-21,5.32659454994483e-19
"GATSL1",17.3408512793956,4.73404248334289e-07,0.00144269507594764,3.51258466025218e-21,5.32659454994483e-19
"KRTAP26-1",39.4235267449313,4.82913588669916e-07,0.0014426950778485,3.80422117644654e-21,5.7189171580355e-19
"C9orf62",41.8770426670407,2.80884282873845e-07,0.00144269505130443,5.85159936034656e-21,8.73111026946038e-19
"PAGE4",22.5134210008955,5.11889012729761e-07,0.00144269508259071,6.52978939805303e-21,9.59975067828473e-19
